PC_w0,PC_w1,PC_w2,PC_AG,PC_NG,PC_SG,PV_w0,PV_w1,PV_w2,PV_AG,PV_GG,error,cv_PC,cv_PV,syn_PC,syn_PV
"[4, 34]","[4, 187]","[4, 139]","[4, 148]","[4, 151]","[4, 129]","[4, 107]","[4, 109]","[4, 112]","[4, 193]","[4, 157]",,0.0,0.0,,
"[4, 97]","[3, 99]","[3, 73]","[3, 77]","[4, 114]","[3, 49]","[3, 30]","[3, 86]","[3, 205]","[4, 203]","[4, 169]",,0.0,0.0,,
"[4, 237]","[3, 119]","[3, 74]","[3, 38]","[4, 111]","[3, 127]","[4, 161]","[4, 174]","[3, 244]","[4, 58]","[4, 109]",,0.0,0.0,,
"[3, 127]","[4, 252]","[3, 16]","[4, 195]","[3, 44]","[4, 48]","[4, 185]","[3, 86]","[3, 73]","[4, 149]","[3, 141]",,0.0,0.0,,
"[4, 151]","[3, 235]","[4, 159]","[3, 197]","[3, 172]","[4, 72]","[4, 184]","[4, 107]","[3, 236]","[3, 37]","[4, 71]",,0.0,0.0,,
"[4, 61]","[3, 158]","[4, 200]","[3, 185]","[4, 221]","[3, 36]","[4, 241]","[4, 206]","[3, 120]","[3, 88]","[4, 193]",,0.0,0.0,,
"[4, 53]","[3, 150]","[4, 129]","[4, 242]","[3, 224]","[4, 32]","[4, 21]","[3, 207]","[4, 23]","[3, 218]","[4, 227]",,0.0,0.0,,
"[4, 214]","[4, 23]","[3, 235]","[3, 160]","[4, 186]","[3, 85]","[4, 85]","[4, 52]","[3, 182]","[4, 147]","[4, 118]",,0.0,0.0,,
"[3, 64]","[4, 79]","[3, 64]","[4, 157]","[3, 230]","[4, 17]","[4, 30]","[3, 152]","[3, 44]","[4, 82]","[4, 210]",,0.0,0.0,,
"[3, 135]","[3, 218]","[4, 146]","[3, 170]","[3, 199]","[4, 78]","[3, 105]","[3, 21]","[4, 121]","[3, 57]","[4, 109]",,0.0,0.0,,
"[4, 23]","[3, 61]","[4, 29]","[4, 149]","[4, 106]","[4, 253]","[3, 234]","[3, 68]","[3, 170]","[4, 210]","[4, 140]",,0.0,0.0,,
"[4, 41]","[4, 142]","[4, 199]","[3, 73]","[4, 120]","[4, 90]","[4, 198]","[3, 211]","[3, 170]","[3, 102]","[3, 130]",,0.0,0.0,,
"[4, 74]","[4, 71]","[4, 223]","[4, 24]","[4, 87]","[3, 127]","[3, 30]","[4, 201]","[4, 226]","[4, 66]","[4, 228]",,0.0,0.0,,
"[4, 239]","[3, 103]","[3, 164]","[3, 31]","[3, 32]","[4, 43]","[3, 179]","[3, 246]","[4, 132]","[4, 200]","[4, 162]",,0.0,0.0,,
"[3, 88]","[4, 106]","[4, 81]","[3, 121]","[4, 87]","[3, 135]","[3, 97]","[4, 30]","[4, 240]","[4, 48]","[4, 158]",,0.0,0.0,,
"[4, 114]","[4, 181]","[4, 193]","[3, 60]","[3, 173]","[4, 23]","[4, 212]","[3, 208]","[3, 116]","[4, 123]","[3, 121]",,0.0,0.0,,
"[3, 37]","[3, 58]","[4, 104]","[4, 154]","[4, 176]","[3, 145]","[3, 165]","[4, 110]","[4, 123]","[3, 26]","[3, 221]",,0.0,0.0,,
"[3, 134]","[3, 174]","[3, 161]","[3, 145]","[4, 133]","[3, 145]","[3, 62]","[3, 40]","[3, 141]","[4, 188]","[4, 32]",,0.0,0.0,,
"[4, 53]","[3, 179]","[3, 39]","[3, 43]","[4, 99]","[3, 228]","[4, 146]","[3, 196]","[3, 187]","[4, 73]","[4, 137]",,0.0,0.0,,
"[3, 33]","[4, 103]","[4, 133]","[3, 64]","[3, 108]","[3, 94]","[4, 123]","[3, 51]","[4, 33]","[4, 155]","[4, 247]",,0.0,0.0,,
